name,brand,kcal_per_100g,serving_g,per_serving_kcal
"FISHER, HONEY ROASTED PEANUTS","John B. Sanfilippo & Son, Inc.",634,100,634
Tavern Ham and Smoked Gouda,Publix,244,213,519.7
"""""BEEF,GRND,PTY,27/6OZ,FBAB-SM,10#,Z""""","Farmland Foods, Inc.",300,170,510
"PEPPERONI GARLIC BUTTER BLASTED ON A TRADITIONAL CRUST PIZZA, PEPPERONI",Nestle USA Inc.,295,275,811.3
GERMAN CHOC. ICED BROWNIE,MICHELLE'S,372,156,580.3
"CLASSIC SUSHI PLATTER WR, CLASSIC","Genji, Inc.",161,780,1255.8
Baileys Cheesecake,,386.67,150,580
UMAMI BONE BROTH,Lisa Produce,312,240,748.8
"DAN DAN NOODLE BOWL BEYOND MEAT BEEF CRUMBLES TOSSED WITH RAMEN IN A SPICY CHINESE SESAME DRESSING., DAN DAN NOODLE",Cook! SF,228,298,679.4
Vegetarian Pytt i panna,,117,500,585
"PACIFIC COAST CLAM CHOWDER, PACIFIC COAST","Safeway, Inc.",125,425,531.3
MEAL KIT,LOCAL CRATE,232,383,888.6
"Veggie Patty, Wrap",Subway,220,300,660
BASIL PESTO,American Roland Food LLC,624,85,530.4
"Handcrafted Tenders, 5-piece",Popeyes Louisiana Kitchen,336.36,220,740
"Syrups, corn, dark",,286,328,938.1
"TURKEY & CHEDDAR CHEESE SUB, TURKEY & CHEDDAR CHEESE","Taylor Fresh Foods, Inc.",217,244,529.5
LEMON CHICKEN WITH PENNE ALFREDO AND PEAS,HOME CHEF,158,418,660.4
Chick'n Shack,Shake Shack,220,250,550
GREEK HORIATIKI,Dominick's Finer Foods,140,680,952
Hand Made Beef & Potato Jumbo Burrito,Reynaldo's,223,283,631.1
JUMBO FROSTED HONEY BUN,Walgreens Co.,393,135,530.5
Chicken Cipotle Wrap,Lunds & Byerlys,193,326,629.2
Shrimp Fajitas,Chili's Grill & Bar,180,650,1170
Mega Chili Cheese Dog,Dairy Queen,334.8,227,760
LASAGNA WITH MEAT SAUCE,Marie Callender's Retail Foods,123,439,540
Hand-Battered Fish & Chips,Applebee's,226.15,650,1470
"CHOCOLATE CHIP MUFFINS, CHOCOLATE CHIP",Rich Products Corporation,411,141,579.5
Mother of Meat,Screamin' Sicilian Pizza Co.,290,269,780.1
Istrian Fuži with Truffles,,284.09,220,625
Chicken Creole,,125,400,500
Pancake Platter,Burger King,250,200,500
Epic Grilled Chicken Fresh Guacamole Burrito,Del Taco,167.83,429,720
Italian Style Sandwich,Food Unlimited,202,272,549.4
Philly Cheesesteak,Signature,275,193,530.8
ICE CREAM SANDWICHES,SUNSHINE SAMMIES,361,147,530.7
Gourmet Mac & Cheese,First Street,313,227,710.5
Hamburger Helper Deluxe Beef Stroganoff Pasta Meal,GENERAL MILLS SALES INC.,356,201,715.6
PORK & BACON HASH,Hormel Foods Corporation,216,236,509.8
Signature Cake,Dierbergs Kitchen,435,147,639.5
Angus Cheeseburger Sandwich,Fast Bites,295,176,519.2
