rule;source;id;brand;name
rule14_branded_negligible;usda;29121;Wegmans Food Markets, Inc.;Original Taco Sauce
rule14_branded_negligible;usda;41384;Conagra Brands;Reddi-wip Fat Free Whipped Dairy Cream Topping, 6.5 oz.
rule14_branded_negligible;usda;44480;Mondelez Int. US (0074819091009);Trident Gum Bubblegum Sugar Free1x14 Pc
rule14_branded_negligible;usda;44491;PepsiCo;Diet Mtn Dew Soda (6 - 24 Fluid Ounce) 144 Fluid Ounce 6 Pack Plastic Bottles
rule14_branded_negligible;usda;44492;Mondelez Int. US (0074819091009);Trident Gum Island Berry Lime 1x15 Pk
rule14_branded_negligible;usda;44516;Mondelez Int. US (0074819091009);Trident Gum Mint Bliss Sugar Free1x14 Pc
rule14_branded_negligible;usda;44532;PepsiCo;Diet Pepsi Cola 16 Fluid Ounce Plastic Bottle
rule14_branded_negligible;usda;44573;Mondelez Int. US (0074819091009);Trident Gum Assorted Sugar Free1x15.000 Pk
rule14_branded_negligible;usda;44617;PepsiCo;Diet Pepsi Wild Cherry 2 Liter Plastic Bottle
rule14_branded_negligible;usda;44679;Mondelez Int. US (0074819091009);Trident Vibes Gum Lemon 1x40 Pc
rule14_branded_negligible;usda;44684;PepsiCo;Diet Pepsi Cola (8 - 12 Fluid Ounce) 96 Fluid Ounce 8 Pack Plastic Bottles
rule14_branded_negligible;usda;44690;Mondelez Int. US (0074819091009);Trident Gum Tropical Twist Sugar Free1x14 Pc
rule14_branded_negligible;usda;44721;Mondelez Int. US (0074819091009);Trident Gum Island Berry Lime Sugar Free1x18 Pc
rule14_branded_negligible;usda;44723;Mondelez Int. US (0074819091009);Trident Gum Blueberry Twist Sugar Free1x14 Pc
rule14_branded_negligible;usda;44792;Mondelez Int. US (0074819091009);Trident Layers Gum 1x14 Pc
rule14_branded_negligible;usda;44794;Mondelez Int. US (0074819091009);Trident Gum Peppermint 1x18 Pc
rule14_branded_negligible;usda;44808;Mondelez Int. US (0074819091009);Trident Gum Watermelon 1x14.000 Pk
rule14_branded_negligible;usda;44874;PepsiCo;Diet Mtn Dew Soda 12 Fluid Ounce Aluminum Can
rule14_branded_negligible;usda;44878;Mondelez Int. US (0074819091009);Trident Gum Watermelon Twist Sugar Free1x3 Pk
rule14_branded_negligible;usda;44887;Mondelez Int. US (0074819091009);Stride Gum Winterblue Sugar Free1x14 Pc
rule14_branded_negligible;usda;44903;Mondelez Int. US (0074819091009);Trident Gum Cinnamon Sugar Free1x14 Pc
rule14_branded_negligible;usda;44933;PepsiCo;Pepsi Zero Sugar Cola 20 Fluid Ounce Plastic Bottle
rule14_branded_negligible;usda;45014;Mondelez Int. US (0074819091009);Trident Gum Cinnamon Bonus1x14 Pk
rule14_branded_negligible;usda;45020;Qtg;Propel  Zero Calories Blueberry Pomegranate Flavored Water 24 Fluid Ounce Plastic Bottle
rule14_branded_negligible;usda;45023;Mondelez Int. US (0074819091009);Stride Gum Peppermint Sugar Free1x14 Pc
rule14_branded_negligible;usda;45050;Mondelez Int. US (0074819091009);Stride Sour Patch Kids Gum Blue Raspberry 1x14 Pc
rule14_branded_negligible;usda;45057;Mondelez Int. US (0074819091009);Trident Gum Splashing Fruit Sugar Free1x18 1n
rule14_branded_negligible;usda;45060;Mondelez Int. US (0074819091009);Trident Gum Tropical Twist 1x14 Pk
rule14_branded_negligible;usda;45067;Mondelez Int. US (0074819091009);Trident Gum Island Berry Lime Sugar Free1x14 Pc
rule14_branded_negligible;usda;45169;Mondelez Int. US (0074819091009);Trident Gum Minty Sweet Twist Sugar Free1x18 Pc
rule14_branded_negligible;usda;45174;Mondelez Int. US (0074819091009);Trident Gum Tropical Twist 1x15 Pk
rule14_branded_negligible;usda;45187;Mondelez Int. US (0074819091009);Trident Gum Spearmint Sugar Free1x3 Pk
rule14_branded_negligible;usda;45192;Mondelez Int. US (0074819091009);Trident Vibes Gum Tropical 1x40 Pc
rule14_branded_negligible;usda;45213;Mondelez Int. US (0074819091009);Trident Gum Watermelon Twist 1x15 Pk
rule14_branded_negligible;usda;45237;PepsiCo;Diet Sierra Mist Cranberry Splash Caffeine Free Soda 2 Liter Plastic Bottle-IA
rule14_branded_negligible;usda;45286;Mondelez Int. US (0074819091009);Trident Gum Original Sugar Free1x3 Pk
rule14_branded_negligible;usda;45290;PepsiCo;Diet Pepsi Cola (6 - 16.9 Fluid Ounce) 101.4 Fluid Ounce 6 Pack Plastic Bottles
rule14_branded_negligible;usda;45331;Mondelez Int. US (0074819091009);Dentyne Classic Gum Cinnamon Sugar Free1x18 Pc
rule14_branded_negligible;usda;45349;PepsiCo;Diet Pepsi Cola 2 Liter Plastic Bottle
rule14_branded_negligible;usda;45356;Mondelez Int. US (0074819091009);Trident Gum Tropical Twist Sugar Free1x18 Pc
rule14_branded_negligible;usda;45361;Mondelez Int. US (0074819091009);Trident Gum Tropical Twist 1x50 Pc
rule14_branded_negligible;usda;45381;Mondelez Int. US (0074819091009);Stride Sour Patch Kids Gum Watermelon 1x3 Pk
rule14_branded_negligible;usda;45414;Mondelez Int. US (0074819091009);Trident Gum Assorted Mint Sugar Free1x20 Pk
rule14_branded_negligible;usda;45456;Mondelez Int. US (0074819091009);Trident Gum Cinnamon 1x15 Pk
rule14_branded_negligible;usda;45508;Mondelez Int. US (0074819091009);Trident Gum Original 1x50 Pc
rule14_branded_negligible;usda;45523;Qtg;Propel Black Cherry Flavored Water Beverage 24 Fluid Ounce Plastic Bottle
rule14_branded_negligible;usda;45540;Mondelez Int. US (0074819091009);Trident Gum Spearmint 1x14 Pk
rule14_branded_negligible;usda;45567;Mondelez Int. US (0074819091009);Trident Gum Wild Strawberry/Tangy Citrus 1x10 Pk
rule14_branded_negligible;usda;45592;PepsiCo;Diet Pepsi Wild Cherry (6-24z) 96 Fluid Ounce Plastic Bottles
rule14_branded_negligible;usda;45595;Mondelez Int. US (0074819091009);Trident Gum Original 1x30.000 Pc
rule14_branded_negligible;usda;45635;PepsiCo;Diet Pepsi Wild Cherry Cola 20 Fluid Ounce Plastic Bottle
rule14_branded_negligible;usda;45661;Mondelez Int. US (0074819091009);Trident Gum Original Sugar Free1x18 Pc
rule14_branded_negligible;usda;45668;Mondelez Int. US (0074819091009);Trident Gum Spearmint Sugar Free1x14 Pc
rule14_branded_negligible;usda;45677;Mondelez Int. US (0074819091009);Trident Gum Assorted Fruit Sugar Free1x20 Pk
rule14_branded_negligible;usda;45698;Mondelez Int. US (0074819091009);Trident Gum Strawberry Twist Sugar Free1x14.000 Pc
rule14_branded_negligible;usda;45699;PepsiCo;Diet Pepsi Cola 12 Fluid Ounce Aluminum Can
rule14_branded_negligible;usda;45742;Qtg;Propel Kiwi Strawberry Flavored Water Beverage 24 Fluid Ounce Plastic Bottle
